               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.050727,            0.029435,            0.024382,             0.14484,             0.46187,             0.29886,            0.092263,            0.051469,            0.016982,            0.029831,            0.005248,            0.005248,            0.005248
                  50,            0.047581,            0.025311,            0.025954,             0.17116,             0.48485,             0.29555,             0.11601,            0.051206,            0.015478,               0.028,            0.005149,            0.005149,            0.005149
                  51,             0.04765,            0.026132,            0.024994,             0.24486,             0.46068,             0.29524,            0.099145,            0.045565,            0.013625,            0.030521,             0.00505,             0.00505,             0.00505
                  52,            0.048152,            0.025345,            0.024686,             0.36723,             0.28961,             0.31001,             0.13562,            0.048159,            0.014594,             0.04071,            0.004951,            0.004951,            0.004951
                  53,            0.048145,            0.024588,            0.022979,             0.40978,              0.6393,              0.5487,             0.25415,            0.040411,            0.012525,            0.029865,            0.004852,            0.004852,            0.004852
                  54,            0.045252,            0.025996,            0.019887,             0.48122,             0.45909,             0.33465,             0.13669,            0.041106,            0.013702,            0.033035,            0.004753,            0.004753,            0.004753
                  55,            0.046111,            0.025564,            0.021239,             0.35028,             0.69804,             0.49711,              0.2217,            0.046835,            0.011485,            0.035057,            0.004654,            0.004654,            0.004654
                  56,            0.045439,            0.025825,            0.021952,             0.70287,             0.30327,             0.35688,             0.17347,            0.042186,            0.012369,            0.032249,            0.004555,            0.004555,            0.004555
                  57,            0.045045,            0.024608,             0.02198,             0.69227,             0.24935,             0.44059,             0.17907,              0.0417,            0.013798,            0.029064,            0.004456,            0.004456,            0.004456
                  58,            0.044023,            0.025426,            0.019686,             0.55117,              0.3987,               0.221,            0.094308,            0.055205,            0.014488,            0.022997,            0.004357,            0.004357,            0.004357
                  59,            0.044508,            0.025585,            0.021052,             0.64693,             0.63405,             0.58873,             0.20203,            0.041607,            0.011362,            0.025352,            0.004258,            0.004258,            0.004258
                  60,            0.043806,            0.024102,            0.017333,              0.6354,             0.46818,             0.43976,             0.14912,            0.045141,            0.011595,            0.026333,            0.004159,            0.004159,            0.004159
                  61,            0.043077,            0.023839,             0.01848,             0.59143,             0.74059,             0.58993,             0.23157,            0.040334,            0.010688,            0.024643,             0.00406,             0.00406,             0.00406
                  62,            0.041636,            0.025013,            0.017851,             0.50096,             0.50865,             0.38098,             0.19203,            0.041401,            0.012306,            0.026241,            0.003961,            0.003961,            0.003961
                  63,            0.044882,             0.02335,            0.017516,             0.43762,             0.77121,             0.62556,             0.22689,             0.04194,            0.010952,            0.027447,            0.003862,            0.003862,            0.003862
                  64,            0.044152,            0.024094,            0.022148,              0.5484,              0.6125,              0.6602,             0.33455,            0.038702,            0.010651,            0.043495,            0.003763,            0.003763,            0.003763
                  65,            0.042106,            0.023628,            0.018381,             0.66094,             0.72789,             0.67824,             0.38992,            0.038276,           0.0099193,            0.029716,            0.003664,            0.003664,            0.003664
                  66,             0.03879,            0.021582,            0.019003,             0.63303,             0.67157,             0.68827,             0.34202,            0.037755,            0.010434,            0.034622,            0.003565,            0.003565,            0.003565
                  67,            0.040757,            0.023008,            0.017039,             0.44271,              0.7523,             0.60866,             0.29132,            0.043412,             0.01037,            0.025852,            0.003466,            0.003466,            0.003466
                  68,             0.04153,            0.024598,             0.01671,             0.31449,             0.56061,             0.42249,             0.22021,            0.038959,            0.010672,            0.033272,            0.003367,            0.003367,            0.003367
                  69,            0.041481,            0.022494,            0.014672,             0.23616,             0.46751,             0.32282,             0.16744,            0.040114,            0.011253,            0.041664,            0.003268,            0.003268,            0.003268
                  70,            0.040626,            0.023423,            0.017053,             0.76209,             0.50954,             0.61524,              0.2364,             0.04236,            0.010511,            0.045616,            0.003169,            0.003169,            0.003169
                  71,            0.041396,            0.022184,            0.017181,             0.95425,              0.5368,              0.7029,              0.3609,            0.039227,            0.010376,            0.043823,             0.00307,             0.00307,             0.00307
                  72,            0.039396,            0.022519,            0.015573,             0.63338,             0.58507,             0.68281,             0.32595,            0.041176,            0.010552,            0.029755,            0.002971,            0.002971,            0.002971
                  73,            0.040909,            0.022002,            0.019655,             0.43046,             0.78526,             0.59936,             0.30532,            0.037335,            0.010293,            0.035332,            0.002872,            0.002872,            0.002872
                  74,            0.040316,            0.022318,            0.017741,             0.93009,             0.46988,             0.64832,              0.3247,            0.036508,            0.010169,             0.04277,            0.002773,            0.002773,            0.002773
                  75,            0.038682,              0.0207,            0.016059,             0.43219,             0.64918,             0.59606,             0.29052,            0.036583,            0.010778,            0.042191,            0.002674,            0.002674,            0.002674
                  76,            0.037841,            0.020196,            0.016734,             0.49798,             0.69394,             0.65371,             0.31253,            0.039518,            0.010147,            0.026436,            0.002575,            0.002575,            0.002575
                  77,            0.037978,            0.021607,            0.014272,             0.55992,             0.75249,              0.7093,              0.3359,            0.034673,            0.010348,            0.024185,            0.002476,            0.002476,            0.002476
                  78,            0.035331,            0.021362,            0.013962,              0.6152,             0.87727,             0.74964,             0.40557,            0.037992,           0.0099565,            0.023323,            0.002377,            0.002377,            0.002377
                  79,            0.037318,            0.020673,            0.014021,             0.56821,             0.76316,             0.70765,             0.36852,            0.040687,            0.009524,            0.023647,            0.002278,            0.002278,            0.002278
                  80,            0.039249,            0.022333,            0.015744,             0.38909,             0.63173,             0.55068,             0.31736,            0.037538,            0.010061,             0.03701,            0.002179,            0.002179,            0.002179
                  81,            0.038856,            0.022525,            0.015053,              0.4597,             0.79242,             0.66292,             0.37514,            0.036766,            0.009779,            0.036331,             0.00208,             0.00208,             0.00208
                  82,            0.038814,              0.0221,             0.01551,             0.53513,             0.82727,             0.73381,             0.45226,            0.035582,           0.0094718,            0.030678,            0.001981,            0.001981,            0.001981
                  83,             0.03799,            0.023347,             0.01451,             0.48814,             0.80909,             0.70949,              0.4124,            0.033416,           0.0094075,            0.031059,            0.001882,            0.001882,            0.001882
                  84,            0.038004,            0.022607,            0.015836,             0.62751,              0.7046,             0.68185,             0.38054,            0.033997,           0.0094676,            0.027668,            0.001783,            0.001783,            0.001783
                  85,            0.037024,            0.020292,            0.013771,             0.41976,             0.69792,             0.58328,             0.35312,            0.036306,           0.0098751,            0.026272,            0.001684,            0.001684,            0.001684
                  86,            0.036806,            0.021572,            0.014217,             0.54474,             0.67032,             0.66973,             0.37734,            0.036456,           0.0094906,            0.025108,            0.001585,            0.001585,            0.001585
                  87,            0.032685,            0.019342,            0.014823,             0.61192,             0.65303,             0.64519,             0.38762,            0.036547,            0.009531,            0.024616,            0.001486,            0.001486,            0.001486
                  88,            0.037915,            0.022448,            0.013101,             0.66544,             0.80633,             0.70697,               0.377,            0.034402,           0.0090113,            0.023994,            0.001387,            0.001387,            0.001387
                  89,            0.036954,             0.02131,            0.014682,             0.65988,             0.87975,              0.7821,             0.45374,            0.036396,           0.0089665,            0.020855,            0.001288,            0.001288,            0.001288
                  90,            0.036365,            0.022587,            0.011881,             0.62349,             0.88206,              0.7953,             0.50981,            0.038474,           0.0089889,            0.020256,            0.001189,            0.001189,            0.001189
                  91,            0.037287,            0.020988,            0.013952,             0.62203,             0.81285,             0.75171,             0.49243,            0.036527,           0.0090743,             0.02504,             0.00109,             0.00109,             0.00109
                  92,            0.036328,             0.02217,            0.015717,             0.58454,             0.82037,             0.76233,             0.51037,            0.035483,           0.0089327,             0.02713,            0.000991,            0.000991,            0.000991
                  93,            0.034243,            0.020937,            0.015923,             0.58504,             0.75152,             0.71429,             0.46912,            0.035148,           0.0091342,            0.027065,            0.000892,            0.000892,            0.000892
                  94,            0.034795,            0.021053,            0.015525,             0.60077,             0.57787,             0.64681,             0.36801,            0.036439,            0.009696,            0.025635,            0.000793,            0.000793,            0.000793
                  95,            0.034802,            0.021413,            0.012595,             0.60223,             0.64394,             0.72807,             0.46064,            0.036868,           0.0090556,            0.023418,            0.000694,            0.000694,            0.000694
                  96,            0.034909,            0.021643,            0.013077,             0.60483,             0.76563,             0.79414,             0.51434,            0.035346,           0.0088459,            0.025776,            0.000595,            0.000595,            0.000595
                  97,            0.034407,            0.020688,            0.010786,             0.67162,             0.62554,              0.7416,             0.48234,            0.035116,           0.0087645,            0.027748,            0.000496,            0.000496,            0.000496
                  98,            0.035649,            0.022791,             0.01292,             0.66037,             0.60178,             0.71815,             0.43392,            0.035191,           0.0089732,            0.027916,            0.000397,            0.000397,            0.000397
                  99,             0.03501,            0.022178,            0.012399,             0.66021,             0.61461,             0.72307,             0.44508,            0.036092,           0.0089655,            0.025719,            0.000298,            0.000298,            0.000298
